,cleaned,score,sentimen
1879,dalam rangka menyambut pilkada damai polres bireuen gelar olah raga bersama tni dan pemerintah daerah olah raga bersama tersebut digelar di lapangan hijau wira pratama mapolres bireuen jum at september pagi,5,positive
1880,bireuen polres bireuen mengajak tim pemenangan calon bupati dan wakil bupati bireuen untuk berkomitmen ciptakan pilkada berjalan aman damai dan sejuk hal tersebut disampaikan kapolres bireuen akbp jatmiko s.h . m.h .,0,neutral
1881,teriakan meriah di pengambilan nomor urut untuk pilkada walikota banda aceh di kip,0,neutral
1882,calon bupati aceh barat komit jaga pilkada damai dan waspadai provokator pencari untung via,-1,negative
1883,illiza afdhal no di pilkada banda aceh . oke gas oke gas,0,neutral
1884,kip aceh telah melakukan pengundian nomor urut pasangan cagub cawagub aceh pada pilkada tahun . senin september . . bustami hamzah amp,1,positive
1885,kegiatan kip fun walk ini dilaksanakan guna sebagai wadah sosialisasi bersama masyarakat umum dan edukasi terkait pilkada aceh singkil tahun . antusias masyarakat umum tampak semangat dalam mengikuti setiap rangkaian acara pada kegiatan kip fun walk tersebut .,-2,negative
1886,salam kip fun walk menyongsong pilkada damai aceh singkil tahun diikuti ribuan masyarakat bertempat di gor kasim tagok minggu .,-5,negative
1887,semarak pilkada aceh melalui kip fun walk ini diikuti oleh masyarakat umum dengan penuh antusias serta diserahkan sejumlah doorprize menarik .,1,positive
1888,salam komisi independen pemilihan kip kabupaten aceh singkil menyelenggarakan kip fun walk dalam rangka menyongsong pilkada damai tahun minggu dengan start finish di gor kasim tagok singkil utara .,-3,negative
1889,begal politik bukan hanya berlaku di pilkada pulau jawa kami di sumatera khususnya kota subulussalam aceh untuk pilwakot kota subulussalam salah satu paslon gagal untuk maju di karenakan bukan orang aceh .,-7,negative
1890,tahapan pemilihan kepala daerah pilkada serentak tahun sudah memasuki tahap pengundian dan penetapan nomor urut pasangan calon paslon gubernur dan wakil gubernur aceh .,2,positive
1891,kip aceh jaya tetapkan nomor urut empat paslon bupati pilkada,2,positive
1892,ini nomor urut empat paslon bupati dan wakil bupati aceh selatan dalam pilkada via,0,neutral
1893,wakapolres aceh timur bersama forkopimda hadiri penetapan nomor urut paslon pilkada kehadiran forkopimda kabupaten aceh timur menunjukkan dukungan dan komitmen pihak keamanan serta pemda terhadap pelaksanaan pilkada yang aman damai dan demokratis .,2,positive
1894,kip provinsi aceh telah menetapkan nomor urut calon gubernur serta calon wakil gubernur pilkada . pasangan bustami hamzah fadhil rahmi nomor urut dan muzakir manaf fadhlullah nomor urut .,2,positive
1895,nomor urut calon bupati dan calon wakil bupati kabupaten aceh barat daya pada pilkada,0,neutral
1896,singgung masalah dinamika tahapan pilkada bustami proses demokrasi jangan sampai ada yang tersakiti,1,positive
1897,kapolres pidie jaya pimpin apel kesiapan pengamanan pilkada tahun pada tahap pengundian nomor urut pasangan calon bupati amp,2,positive
1898,pilkada aceh menjadi ajang penting bagi kadin aceh dalam memastikan dampak positif uaqkc p,-1,negative
1899,ketua kadin aceh muhammad iqbal mengungkapkan bahwa kadin aceh tidak menginginkan adanya konflik politik selama atau setelah proses pilkada berlangsung .,0,neutral
1900,pilkada aceh menjadi ajang penting bagi kadin aceh dalam memastikan dampak positif,-1,negative
1901,kadin aceh yang dipimpin oleh muhammad iqbal secara resmi mendukung pasangan muzakir manaf dan fadhlullah sebagai calon gubernur dan wakil gubernur aceh dalam pilkada .,3,positive
1902,paslon zaman ajak semua elemen wujudkan pilkada pidie yang damai dan kondusif itu,2,positive
1903,usai pengundian nomor urut empat paslon pilkada pidie tampak ceria,0,neutral
1904,wakapolres aceh jaya hadiri rapat pleno pengundian nomor urut pasangan calon bupati amp,2,positive
1905,pengundian nomor urut pasangan calon paslon untuk pemilihan gubernur aceh dilakukan hari ini . untuk nomor urut bustami fadhil sedangkan muzakir fadhlullah nomor urut,0,neutral
1906,kip tetapkan empat pasangan calon wali kota banda aceh pada pilkada,1,positive
1907,aceh maju nusantara maju,0,neutral
1908,kip tetapkan empat paslon wali kota banda aceh di pilkada,0,neutral
1909,minggu september kepala kejaksaan negeri aceh singkil bapak muhammad junaidi s.h . m.h . turut menghadiri kegiatan fun walk dalam rangka menyongsong pilkada damai kabupaten aceh singkil yang di gelar oleh komisi independen pemilihan kip aceh singkil .,-3,negative
1910,pimpin apel pagi kakanwil kemenkumham aceh ingatkan netralitas menjelang pilkada,1,positive
1911,babinsa kuala baru rangkul tokoh masyarakat pelihara situasi kondusif jelang pilkada,2,positive
1912,forkopimda aceh singkil meriahkan kip fun walk bersatu menyongsong pilkada damai !,-1,negative
1913,kip banda aceh tetapkan empat paslon walikota pilkada empat bakal pasangan calon walikota dan wakil walikota ditetapkan sebagai pasangan calon walikota dan wakil walikota banda aceh peserta pemilihan.selengkapya skoxeo,4,positive
1914,pilkada aceh menjadi ajang penting bagi kadin aceh dalam memastikan kepemimpinan yang mampu membawa dampak positif bagi dunia usaha dan pertumbuhan ekonomi di aceh .,-1,negative
1915,kadin aceh siap bekerja keras untuk memastikan kemenangan pasangan mualem dek fadh dalam kontestasi pilkada aceh .,1,positive
1916,kip ubah putusan pasangan bustami fadhil maju di pilkada aceh indonews news,1,positive
1917,pilkada aceh pun enggak kalah seru fak dramanya,-2,negative
1918,pilkada tempat gue edisi kali ini seru coyy wkwkw . paslon resmi gugur karena terjegal qanun aceh wkwkw,1,positive
1919,kip aceh cabut tms bustami fadhil diputuskan penuhi syarat ikut pilkada,-1,negative
1920,dapat pilkada di banda aceh . orang pemilih perempuan lebih banyak dari laki laki,-1,negative
1921,pilkada aceh kotak kosong vs otak kosong !,-3,negative
1922,kip pidie tetapkan empat pasangan calon di pilkada besok penarikan nomor urut,3,positive
1923,dapat pilkada aceh tamiang . jiwa karangbaru terbanyak ini jumlah pemilih laki laki perempuan via,-1,negative
1924,pilkada aceh memanas rusli jabat kip aceh tidak berintegritas,-1,negative
1925,pengumuman nomor pl . . punya hasil penerimaan laporan penerimaan dan pengeluaran dana kampanye perbaikan pemilihan bupati dan wakil bupatikabupaten aceh singkil tahun dapat dilihat dan diunduh pada atau scan barcode pada postingan,4,positive
1926,salam pengumuman nomor pl . . punya tentang hasil penerimaan laporan penerimaan dan pengeluaran dana kampanye pemilihan bupati dan wakil bupati kabupaten aceh singkil tahun dan,4,positive
1927,penertiban alat peraga kampanye di aceh singkil,0,neutral
1928,satpol pp tertibkan alat peraga kampanye di aceh singkil,0,neutral
1929,personel satuan brimob polda aceh batalyon sih pelopor yang terlibat dalam unit satgas tindak omp seulawah bko polres nagan raya melaksanakan pengamanan dalam rangka kampanye akbar pasangan calon bupati dan wakil bupati nagan raya nomor urut,1,positive
1930,cuma calon calon pemenang kuat lakukan kampanye akbar terbuka di seluruh aceh,1,positive
1931,nya lon kalon baro lheh kabupaten yang ya kampanye nyan nya min . ?,2,positive
1932,wakapolsek medan baru pimpin pengamanan kegiatan kampanye di aula yayasan aceh sepakat,2,positive
1933,kampanye akbar di meulaboh warga barat selatan aceh banjir dukungan untuk mualem dek fadh,2,positive
1934,salam kip kabupaten aceh singkil melaksanakan rapat koordinasi penertiban apk alat peraga kampanye sabtu,1,positive
1935,salut . walau diguyur hujan tetap dilalui untuk ikhtiar menjemput kemenangan . hari terakhir kampanye ratusan kader dan simpatisan pks gelar flash mob di bundaran simpang lima kota banda aceh . mengajak warga kota banda aceh untuk memilih walikota perubahan ..,0,neutral
1936,brimob aceh amankan lokasi kampanye akbar di lapangan bola kaki kuta padang .,2,positive
1937,di hari terakhir kampanye relawan illiza dan relawan muallem kampanye on the road bagi bagi flyer di kota banda aceh,-1,negative
1938,di aceh kalau konser harus pisah cewek cowok kalau kampanye kenapa enggak ya,1,positive
1939,wakapolda aceh brigjen pol . misbahul munauwar s. h didampingi pju polda aceh memantau situasi kamtibmas masa tahapan kampanye di wilayah lhokseumawe jum at november .,2,positive
1940,kampanye dengan pamer uang karung hanya ada di aceh kayanya ya entah apa tujuannya .. entah apa manfaatnya buat rakyat .. entah kenapa rakyatnya malah sorak kegirangan ..,2,positive
1941,ngen prabowo syit watei debat lagei manok keuneng ta eun watei kampanye peugah paslon lain nyoe jeh,1,positive
1942,personel kompi batalyon sih pelopor satuan brimob polda aceh bko polres subulussalam melaksanakan pengamanan kampanye dialogis pasangan calon walikota dan wakil walikota subulussalam,2,positive
1943,personel satuan brimob polda aceh batalyon sih pelopor yang terlibat dalam unit satgas tindak omp seulawah bko polres nagan raya melaksanakan pengamanan dalam rangka kampanye akbar pasangan calon bupati dan wakil bupati nagan raya .,1,positive
1944,puluhan ribu warga aceh selatan antusias ikut kampanye akbar pasangan amal,3,positive
1945,nyoe keuh lagee nyoe calon pemimpin geutanyoe harus jih wate kampanye utamakan geupeugah program kerja tahun ke depan agar menang pilgub bek cang panah yang hana perle tujuannya kalau terpilih program kerjanya yang dinantikan pemilihnya,0,neutral
1946,polres aceh timur siagakan ratusan personel amankan kampanye akbar dengan ribuan pendukung yang hadir keberadaan personel kepolisian sangat penting guna menjaga ketertiban selama acara berlangsung .,2,positive
1947,polres aceh timur siagakan ratusan personel amankan kampanye akbar,1,positive
1948,puluhan ribu massa aceh selatan tumpah ruah ikuti kampanye akbar pasangan amal,2,positive
1949,personel kompi batalyon sih pelopor bko polres aceh barat operasi mantap praja seulawah melaksanakan pengamanan kampanye akbar cabub nomor urut di lapangan bola kaki kuta padang desa kuta padang kecamatan johan pahlawan kab . aceh barat .,4,positive
1950,joz akan gelar kampanye akbar di alue bilie dimeriahkan sejumlah artis aceh,4,positive
1951,narasi untuk kesejahteraan rakyat enggak ada apa keuntungan untuk rakyat jika terpilih .. malah menjelekkan paslon lain kampanye,-2,negative
1952,mualem dan dekfadh menyayangkan debat ketiga batal meski sudah sangat siap menyampaikan program program diminggu terakhir kampanye .,1,positive
1953,puluhan ribu masyarakat menghadiri kampanye akbar mualem dek fadh menjadikan lapangan simpang mulieng bagaikan lautan manusia .,2,positive
1954,berita aceh poe pks aceh utara hadiri kampanye akbar mualem dek fa .,0,neutral
1955,puluhan ribu warga hadiri kampanye akbar mualem dek fadh di aceh utara,1,positive
1956,subulussalam november personel kompi batalyon sih pelopor satuan brimob polda aceh bko polres subulussalam melaksanakan pengamanan kampanye akbar pasangan calon walikota dan wakil walikota subulussalam .,2,positive
1957,subulussalam november personel kompi batalyon sih pelopor satuan brimob polda aceh bko polres subulussalam melaksanakan pengamanan kampanye dialogis pasangan calon walikota dan wakil walikota subulussalam no bapak fajri munthe dan bapak karlinus fakkar .,2,positive
1958,aceh tenggara dalam rangka memberikan rasa aman dan nyaman kompi batalyon sih pelopor satuan brimob polda aceh melaksanakan sterilisasi di stadion syahadat aceh tenggara lokasi kampanye akbar calon bupati dan wakil bupati aceh tenggara nomor urut kamis november .,2,positive
1959,maksud nya besok itu kampanye perdana itu bagaimana ya min .. kok lebih enak dengar suara burung berkicau dridapa dengan ocehan receh seperti ini .,4,positive
1960,kampanye akbar pasangan no .,2,positive
1961,pastikan kesiapan lokasi pengamanan kampanye kapolres aceh utara tinjau langsung ke lapangan,4,positive
1962,mantan caleg dprk partai pks di aceh tamiang sofyan dituntut hukuman mati terlibat penyelundupan kg sabu demi lunasi utang kampanye,-2,negative
1963,muzakir manaf dan fadhlullah akan melangsungkan kampanye akbar di lapangan bola kaki kecamatan syamtalira aron aceh utara pada rabu november .,3,positive
1964,pastikan kampanye paslon nomor urut kondusif polres aceh jaya turunkan tim patroli perintis presisi,3,positive
1965,babinsa laksanakan pengamanan kampanye pasangan calon bupati dan wakil bupati kabupaten agara kutacane personil babinsa jajaran kodim agara melaksanakan kegiatan pengamanan dan pemantauan kampanye tatap muka pasangan calon bupati dan wakil bupati bertempat di stadion .,5,positive
1966,subulussalam aceh kampanye dialogis,1,positive
1967,dek fadh bersama ustad abdul somad dan calon walikota dan wakil walikota haji rasyid banchin dan nasir menggelar kampanye akbar di kota subulussalam .,1,positive
1968,di banda aceh bioskop menjadi topik perbincangan hangat dalam pemilihan calon wali kota . beberapa kandidat menjadikan rencana pembangunan bioskop sebagai bahan kampanye untuk menarik dukungan masyarakat,1,positive
1969,sosialisasi kampanye anti korupsi pencegahan korupsi dalam pengelolaan dana bantuan satuan pendidikan bosp di balai panglateh ds . kuta lhoksukon kec . lhoksukon kab . aceh utara .,-2,negative
1970,nasib caleg asel aceh dituntut hukuman mati jadi kurir sabu demi bayar utang kampanye rp juta via,0,neutral
1971,lebih rame kampanye pasangan idaman kemarin di aceh selatan,2,positive
1972,fakta mantan caleg aceh jualan sabu uangnya untuk bayar utang kampanye nasibnya kini dituntut mati,-2,negative
1973,muallem tolak payung di lokasi kampanye,0,neutral
1974,lhokseumawe . satuan komando distrik militer kodim aceh utara menggelar kampanye kreatif dan werving penerimaan calon prajurit tni ada ta . di sama negeri lhokseumawe kecamatan banda sakti kota lhokseumawe selasa .,2,positive
1975,lautan manusia membajiri kampanye akbar musannif bersama sanusi mbs di kec . lembah seulawah . warga kec . lembah seulawah siap memenangkan mbs sebagai bupati dan wakil bupati aceh besar periode .,2,positive
1976,haji uma dan nasir djamil dua tokoh penting aceh ikut serta dalam kampanye mendukung pasangan mualem dan dek fadh . rd,3,positive
1977,ketua komisi iv dprk aceh jaya ingatkan semua pihak agar tidak melanggar syariat dalam kampanye,3,positive
1978,kampanye pemilu usah antara trump vs kemala menghabiskan dana rp atau seratus lima puluh enam trilyun tujuh ratus milyar rupiah rp . kemala tim menghabiskan dana kali lipat lebih besar dari tktvuasb,2,positive
1979,mualem bersilaturahmi ke pondok pesantren di wilayah barat selatan aceh khususnya di kabupaten nagan raya sebagai bagian dari kampanye politiknya .,0,neutral
1980,haji uma dan nasir djamil dua tokoh penting aceh ikut serta dalam kampanye mendukung pasangan mualem dan dek fadh .,3,positive
1981,tim patroli perintis presisi sat samapta polres aceh jaya monitoring kampanye pasangan calon bupati wakil bupati aceh jaya no urut mustafa s.pd dan hanasri st,4,positive
1982,kampanye kreatif koramil lawe sigala sosialisasi rekrutmen prajurit tni ada gel ii kutacane koramil lawe sigala jajaran kodim agara melaksanakan sosialisasi penerimaan calon prajurit tni di sekolah sman lawe sigala gala . kecamatan lawe sigala gala .,4,positive
1983,ini jadwal kampanye cagub cawagub aceh,1,positive
1984,bunda paud aceh fokus pada pencegahan stunting melalui kampanye konsumsi ikan,1,positive
1985,kampanye mbs di kec . blang bintang kab . aceh besar . warga blang bintang siap memenangkan mbs .,1,positive
1986,selain itu diskusi juga menyentuh soal penggunaan fasilitas dan anggaran pemerintah serta larangan penggunaan tempat ibadah dan pendidikan dalam kegiatan kampanye .,4,positive
1987,dan turut dihadiri oleh sejumlah pejabat kip aceh . dalam kesempatan tersebut ahmad mirza safwandy bersama haji uma berdialog tentang berbagai aspek terkait persiapan pelaksanaan pemilihan kepala daerah di aceh . beberapa topik penting yang dibahas meliputi pelaksanaan kampanye,1,positive
1988,kampanye di aceh selatan bustami janji kembangkan komoditi kepala dan sektor perikanan,2,positive
1989,bagaimana nih,0,neutral
1990,melalui rapat koordinasi ini kip aceh berharap dapat meningkatkan kesiapan seluruh tim teknis dalam pengelolaan dan pelaporan dana kampanye sehingga seluruh proses berjalan lancar transparan dan sesuai dengan regulasi yang berlaku .,7,positive
1991,rapat ini menjadi bagian dari upaya berkelanjutan kip aceh dalam mempersiapkan proses pelaporan dana kampanye yang memadai serta memastikan kesiapan teknis dalam penerapan aplikasi sikadeka di setiap tingkatan .,3,positive
1992,rapat lanjutan ini dipimpin oleh iskandar agani wakil ketua kip aceh yang juga memegang tanggung jawab sebagai kadiv teknis penyelenggaraan . dalam pernyataannya iskandar menekankan pentingnya koordinasi untuk memastikan pelaporan dana kampanye yang terstruktur dan akurat .,4,positive
1993,wisata halal itu karena enggak sesuai dengan kultur bali lah . ya kali ada bigul yang legendaris dan arak bali yang jadi keunikan malah harus disembunyikan agar menyesuaikan kampanye wisata halal . kalo aceh dan sumbar direbranding,5,positive
1994,lautan manusia memadati kampanye akbar musannif bersama sanusi mbs di tungkop kec . darussalam .,2,positive
1995,personel perintis presisi satsamapta polres aceh jaya monitoring kampanye pasangan calon bupati dan wakil bupati aceh jaya no urut,4,positive
1996,kegiatan ini bertujuan untuk menyamakan pemahaman dan meningkatkan kemampuan teknis dalam menggunakan aplikasi sikadeka sehingga pelaporan dana kampanye dapat dilaksanakan secara efektif dan efisien .,6,positive
1997,pelaksanaan pelaporan dana kampanye dan pengelolaan melalui aplikasi sikadeka adalah bagian esensial dari upaya kita memastikan akuntabilitas dan kejujuran dalam pelaksanaan pemilihan ujarnya .,0,neutral
1998,personel satuan brimob polda aceh batalyon sih pelopor tim jibom dalam rangka kampanye terbuka pasangan calon bupati dan wakil bupati nagan raya di lapangan garuda leupe desa simpang peut kecamatan kuala kabupaten nagan raya . minggu .,2,positive
1999,personel satuan brimob polda aceh batalyon sih pelopor tim escape dalam rangka kampanye terbuka pasangan calon bupati dan wakil bupati nagan raya di lapangan garuda leupe desa simpang peut kecamatan kuala kabupaten nagan raya . minggu .,2,positive
2000,loh ya indak noh .. itu ledekan yang biasah dalam pemilu . dulu prabowo kampanye ke aceh di sambut spanduk pelanggaran ham dan jari itu hal biasah sandiaga uno di tolak di bali pak jokowi di minang safari desak anis di beberapa daer,1,positive
2001,ini orang sakit kelihatannya dia mengeluarkan uang banyak saat kampanye terus suruh ubah uu biar pemilu tahun sekali berikutnya pilpres mungkin tahun sekali,-2,negative
2002,mualem seringkali menjadi pelopor berbagai program yang bertujuan meningkatkan kesejahteraan rakyat tidak sekadar mengikuti momen kampanye .,1,positive
2003,di rezim soeharto tni melakukan kekejaman yang meluas selama kampanye kontrapemberontakan di provinsi provinsi kayak sumber daya alam papua barat dan aceh dan di timor timur selama tahun yang mengakibatkan puluhan ratusan ribu korban jiwa tambahan .,0,neutral
2004,sterilisasi lapangan pendopo bupati simeulue oleh bko sat brimobda polda aceh jelang kampanye terbuka paslon nomor urut,3,positive
2005,cukup tau bil padahal kevin sudah kampanye tuh mencari suara sampai aceh wkwkwkw,-1,negative
2006,babinsa bersama bhabinkamtibmas laksanakan monitor kampanye dialogis . kutacane babinsa jajaran kodim agara bersama bhabinkamtibmas melaksanakan pengamanan kegiatan kampanye dialogis salah satu paslon kepala daerah sah no . di wilayah desa titi mas kec.babul rahmah,1,positive
2007,ciptakan situasi pilkada yang kondusif kodim agara gelar patroli pengamanan kampanye dialogis . kutacane kodim agara melaksanakan patroli guna menciptakan kondisi yang aman bagi masyarakat serta menjaga keamanan dalam rangka kampanye dialogis pilkada serentak .,6,positive
2008,masuk masa kampanye tni polri laksanakan patroli bersama . jelang pencoblosan pangdam im cek kesiapan personel pengamanan di wilayah . banda aceh panglima komando daerah militer iskandar muda pangdam im mayor jenderal tni niko fahrizal han,1,positive
2009,kepala bnn provinsi aceh brigjen . pol . drs . marzuki ali basyah m.m . didampingi para pju beserta seluruh staf bnnp aceh amp,1,positive
2010,personel polres simeulue dan bko brimob polda aceh amankan kampanye paslon nomor urut di simeulue tengah,1,positive
2011,berikut kami sampaikan pengumuman nomor . punya tentang hasil penerimaan laporan penerimaan sumbangan dana kampanye perbaikan pemilihan bupati dan wakil bupati aceh utara tahun .,5,positive
2012,besok jangan lupa ya soberr hari minggu oktober bnn hadir di cfd banda aceh kampanye indonesia bersih dari narkoba bersinar spesial hari sumpah pemuda pemuda produktif pemuda bersinar .,4,positive
2013,pengumuman nomor pl . . punya hasil penerimaan laporan penerimaan dana kampanye perbaikan pemilihan bupati dan wakil bupati kabupaten aceh singkil tahun dapat dilihat dan diunduh pada atau scan barcode pada postingan,5,positive
2014,salam pengumuman nomor pl . . punya tentang hasil penerimaan laporan penerimaan dana kampanye perbaikan pemilihan bupati dan wakil bupati kabupaten aceh singkil tahun dan,5,positive
2015,bareskrim polri tangkap caleg kurir narkoba asal aceh motif terjerat utang kampanye,-1,negative
2016,dalam rangka memperingati hut kkp ke bpbap ujung batee menggelar berbagai kegiatan yang melibatkan seluruh pegawai dan mahasiswa magang . kegiatan ini meliputi aksi bersih pantai sosialisasi pentingnya pengelolaan sampah serta kampanye gemarikan .,4,positive
2017,patroli perintis presisi polres aceh jaya monitoring kampanye calon bupati dan wakil bupati aceh jaya dalam operasi mantap praja seulawah,6,positive
2018,entah kapan bisa berjabat tangan langsung atau berfoto dengan beliau . kampanye hanya semoat memotret jarak dekat di aceh bandung jjakarya dll,2,positive
2019,tni dan polri terus bersinergi dalam menjaga keamanan dan ketertiban masyarakat menjelang pilkada serentak dengan melaksanakan patroli gabungan di wilayah rawan konflik serta tindakan preventif dan represif terhadap hoaks dan kampanye hitam . upaya deteksi dini,2,positive
2020,kapolres pidie jaya melaksanakan kegiatan anev kampanye bersama pju beserta paurmin kaurmin dan kasium,3,positive
2021,tim patroli perintis presisi satsamapta polres aceh jaya monitoring tempat kampanye calon bupati no . urut di desa ujong rimba .,3,positive
2022,dalam menghadapi berbagai tudingan dan fitnah mualem meminta timnya untuk tetap sabar berfokus pada visi mereka dan mengedepankan moralitas dalam kampanye .,1,positive
2023,kok bisa dirusak ya ? perusakan atribut kampanye marak di aceh tamiang . ketua rkb menawarkan hadiah rp juta untuk informasi pelaku perusakan baliho dan apk . full,1,positive
2024,habiskan makanan yang kita siapkan . stop boros pangan . pesan sesuai kebutuhan sesuai isi kantong perutmu ujar hj . safriati dalam kampanye tersebut . via,4,positive
2025,mau mengucapkan selamat ultah buat yang hari ini ulang tahun wish yuk oll dek bes pakai jj brutal ketua yang lagi sibuk kampanye di uin ar raniry aceh,2,positive
2026,polres bireuen melaksanakan pengawalan dan pengamanan jalannya kegiatan kampanye pilkada bersih tolak politik uang yang diselenggarakan oleh gerakan anti korupsi gerak kabupaten bireuen yang digelar di alun alun kota juang minggu oktober pagi,-2,negative
2027,disamping itu fahmi selaku kabag teknis penyelenggaraan pemilu menyampaikan laporan kegiatan yang diikuti oleh peserta meliputi ketua kip kabupaten kota se aceh bersama ketua divisi sosdiklih dan kasubbag yang membidangi tahapan kampanye .,1,positive
2028,anggota kip aceh hendra darmawan membuka acara tersebut yang dalam sambutannya menyampaikan bahwa kampanye merupakan sarana pendidikan politik untuk masyarakat guna meningkatkan partisipasi pemilih .,1,positive
2029,kantor imigrasi aceh tengah menindak tegas pelanggaran izin tinggal dengan deportasi tiga warga negara prancis .,-1,negative
2030,tiga warga negara asing wna asal prancis ditahan pihak imigrasi kelas non tapi aceh tengah aceh pada minggu setelah kedapatan ikut hadir dalam kampanye salah satu pasangan calon bupati gayo lues beberapa waktu lalu . ikuti berita,-2,negative
2031,personel subsatgas pam objek omp seulawah polres aceh jaya lakukan pengaturan dan pengamanan kampanye terbatas pasangan calon bupati wakil bupati nomor urut,2,positive
2032,tiga warga negara asing asal prancis ditangkap pihak imigrasi aceh tengah karena ikut hadir dalam kampanye salah satu pasangan calon bupati gayo lues beberapa waktu lalu . ketiganya akan dideportasi oleh pihak imigrasi takengon .,0,neutral
2033,syech fadhil dilaporkan ke panwaslih juru bicara bustami syech fadhil mereka tak paham definisi kampanye,3,positive
2034,bpom aceh amp,0,neutral
2035,bang is apa kabar ? kampanye bunda illiza kok enggak pernah menampak bang ?,1,positive
2036,kampanye cagub aceh bustami hamzah di aceh barat temui ulama dan nelayan,3,positive
2037,kampanye . mega akan datang ! cek penawaran hebat ini ! nama produk kopi luwak liar arabika gayo aceh arabica coffee roast beans gram harga produk rp . harga diskon rp .,6,positive
2038,tim patroli presisi polres aceh jaya lakukan patroli monitoring ke tempat kampanye calon wakil bupati safwandi dan muslem ada no urut,3,positive
2039,bustami kampanye ke aceh jaya targetkan kemenangan persen,3,positive
2040,perusakan alat peraga kampanye apk cagub cawagub aceh bustami dan fadhil rahmi masih terjadi di aceh tamiang via,1,positive
2041,sejumlah calon anggota legislatif caleg di aceh sampai sekarang belum melunasi utang pesanan alat peraga kampanye apk .,-1,negative
2042,ciptakan situasi yang kondusif pada saat tahapan kampanye,1,positive
2043,dek fadh juga didampingi oleh tim kampanye lainnya menunjukkan adanya dukungan kuat dari tim dalam menjaga hubungan dengan tokoh tokoh penting di aceh . buokftg,1,positive
2044,enggak mengerti ya tuh prodi ilmu politik yang paham . mana program kampanye mana ini itu aku nangkapnya ya enggak mungkin berdiri sediri lah .. apa guna pelajaran ini itu dikjen nya lah minimal kali enggak paham juga correct me if i wrong,1,positive
2045,setelah tragedi amputasi kebebasan akademis di universitas almuslim peusangan bireun akankah ada perguruan tinggi lainnya di aceh menginisiasi kebebasan akademis dengan memberikan ruang bagi pelaksana kampanye pilgub pilbup dan pilwalkot dilaksanakan di perguruan tinggi ?,-1,negative
2046,tim kampanye mualem dek fadh melalui mahfudz menyatakan bahwa pasangan ini akan tampil lebih baik dalam debat dibandingkan saat penyampaian visi misi sebelumnya .,3,positive
2047,muzakir manaf dan fadhlullah berencana mengadakan kampanye akbar secara serentak di seluruh kabupaten kota di aceh meski jadwal pastinya belum ditentukan .,1,positive
2048,kamis september kasih intelijen kejaksaan negeri aceh tamiang bapak fahmi jalil s.h . m.h . dan kasih tindak pidana khusus kejaksaan negeri aceh tamiang beserta staf laksanakan kampanye anti korupsi tahun di kecamatan karang baru kabupaten aceh tamiang .,-1,negative
2049,ini rombongan salah satu cagub papua tengah mau kampanye ke kabupaten pania jadi jangan asal posting iya ?,0,neutral
2050,lima lokasi kampanye di aceh timur tak diambil kandidat,0,neutral
2051,kip aceh tetapkan batas dana kampanye pilgub fokus transparansi dan efisiensi,3,positive
2052,batas dana kampanye pilgub aceh rp miliar berikut rinciannya saja,1,positive
2053,besaran dana kampanye di simeulue ditetapkan rp miliar,3,positive
2054,batasan untuk iklan kampanye melalui media sosial rp miliar dan kampanye daring rp miliar,2,positive
2055,kip batasi dana kampanye untuk pilgub aceh sebesar rp miliar,1,positive
2056,amankan kampanye pilkada polres aceh jaya siapkan personel via,3,positive
2057,polres aceh jaya amanan kampanye calon bupati wakil bupati nomor urut pilkada enggak,2,positive
2058,penetapan titik atau lokasi kampanye rapat umum tersebut memperhatikan daya tampung tempat ketertiban keamanan etika estetika kebersihan dan keindahannya,1,positive
2059,momen personel polri saat melakukan pengamanan kampanye di wilayah sulawesi barat . hal ini merupakan komitmen polri dalam menjaga netralitas serta mewujudkan pilkada yang aman dan damai . polri siap mengamankan pesta demokrasi dan,3,positive
2060,empat pasangan calon bupati cabub dan cawabub wakil bupati aceh timur telah menyerahkan laporan awal dana kampanye ladk mereka kepada komisi independen pemilihan kip aceh timur via,4,positive
2061,polri melalui polres tabalong polda kalimantan selatan bersama tni dan instansi terkait melaksanakan pengamanan di dua titik lokasi memasuki tahapan kampanye pilkada . dua lokasi berlangsungnya kampanye yakni di desa tanta hulu kecamatan tanta dan di desa gumuk,1,positive
2062,ketua komisioner kip aceh t khairun salim mengatakan penetapan itu dilakukan dari hasil rapat koordinasi kip aceh besar dan pemerintah kabupaten terkait lokasi strategis untuk pemasangan apk dan kampanye terbuka di seluruh wilayah aceh besar,7,positive
2063,adapun pesertanya diikuti oleh anggota kip kabupaten kota yang membidangi divisi sosdiklih dan sdm serta kasubbag yang membidangi kampanye .,-1,negative
2064,hendra darmawan ketua divisi sosialisasi pendidikan pemilih partisipasi dan hubungan masyarakat kip aceh memimpin pelaksanaan kegiatan tersebut . sementara itu pelaksanaan kegiatan ini dalam rangka menyamakan persepsi terkait pelaksanaan tahapan kampanye dalam pemilihan .,2,positive
2065,salam pengumuman laporan awal dana kampanye ladk pasangan calon walikota dan wakil walikota banda aceh tahun .,5,positive
2066,pengumuman tentang hasil penerimaan laporan awal dana kampanye pemilihan bupati dan wakil bupati kabupaten aceh besar tahun selengkapnya dapat dilihat pada website kip aceh besar atau pindai kode batang di gambar .,3,positive
